age,job,marital,education,default,balance,housing,loan,uid
38,blue-collar,married,secondary,no,-579,yes,yes,6794
30,unemployed,married,primary,no,1787,no,no,41888
53,retired,married,secondary,no,340,yes,no,10292
32,entrepreneur,married,primary,no,56,no,no,8047
45,technician,married,secondary,no,3492,yes,yes,12217
31,management,married,tertiary,no,10884,no,no,40778
32,technician,married,secondary,no,3067,yes,no,4724
31,admin.,married,secondary,no,7634,yes,yes,8361
27,admin.,single,secondary,no,-550,yes,no,30889
40,blue-collar,married,secondary,no,1009,yes,yes,12146
39,technician,divorced,tertiary,no,113,yes,yes,31531
54,technician,married,secondary,no,719,yes,no,29115
34,services,married,secondary,no,0,yes,no,4421
49,management,single,tertiary,no,1093,yes,no,25111
54,technician,married,secondary,no,433,no,no,28391
43,blue-collar,married,primary,no,8,no,no,12992
31,technician,single,tertiary,no,321,yes,no,8700
61,blue-collar,married,secondary,no,681,yes,no,44586
38,management,married,tertiary,no,676,no,no,38626
48,management,married,tertiary,no,2,no,no,40320
47,blue-collar,divorced,primary,no,603,yes,yes,35815
38,self-employed,married,secondary,no,290,yes,no,4595
27,blue-collar,married,primary,no,2591,yes,no,15773
42,blue-collar,married,primary,no,517,yes,no,18512
30,admin.,single,tertiary,no,726,no,no,28363
40,admin.,divorced,secondary,no,-105,yes,no,7689
34,blue-collar,single,secondary,no,89,yes,yes,5101
54,technician,divorced,secondary,no,255,yes,no,12386
51,management,divorced,tertiary,no,6,no,no,8082
27,admin.,single,secondary,no,914,no,no,44113
30,management,single,tertiary,no,3045,no,no,21466
46,blue-collar,single,secondary,no,338,yes,no,33273
33,management,married,tertiary,no,808,yes,no,21648
33,admin.,married,tertiary,no,640,no,no,16779
59,retired,married,secondary,no,56,no,no,8997
46,blue-collar,divorced,primary,no,358,no,no,11033
51,management,married,tertiary,no,3134,no,no,11507
41,blue-collar,divorced,primary,no,138,yes,no,15393
58,services,divorced,secondary,no,739,yes,no,33522
42,blue-collar,married,secondary,no,1297,yes,no,31560
36,management,married,tertiary,no,532,yes,no,37645
47,management,single,tertiary,no,86,no,no,34065
37,management,divorced,tertiary,no,443,yes,no,31942
57,retired,divorced,primary,no,63,no,yes,17105
34,management,married,tertiary,no,986,yes,no,8171
33,management,married,tertiary,no,349,yes,yes,17180
29,management,single,tertiary,no,0,yes,no,50
31,services,divorced,unknown,no,0,no,yes,13508
56,retired,married,secondary,no,0,no,no,18484
42,technician,single,secondary,no,568,yes,no,35012
25,blue-collar,single,secondary,no,217,yes,no,39055
33,technician,single,secondary,no,1994,yes,no,7967
29,self-employed,married,secondary,no,0,no,no,6018
27,admin.,married,secondary,no,953,yes,no,5972
33,blue-collar,married,primary,no,5151,yes,yes,26283
56,management,divorced,tertiary,no,382,no,no,26057
33,blue-collar,single,unknown,no,514,yes,no,32494
47,management,married,secondary,no,-521,yes,no,31603
54,management,married,tertiary,no,195,no,yes,29741
42,management,married,unknown,no,587,yes,no,11549
40,management,married,tertiary,no,326,no,no,19944
35,management,married,tertiary,no,0,yes,yes,16932
45,retired,divorced,secondary,no,187,yes,no,36012
31,management,married,tertiary,no,6980,no,no,44549
35,admin.,single,secondary,no,111,yes,no,28220
57,admin.,single,secondary,no,0,no,no,17174
51,blue-collar,married,tertiary,no,84,no,yes,12390
30,technician,married,secondary,no,24,yes,no,15422
47,management,married,tertiary,no,24312,yes,no,17715
26,unemployed,single,tertiary,no,3511,no,no,34029
26,blue-collar,single,secondary,no,450,no,yes,29548
42,blue-collar,married,primary,no,5,yes,no,16931
39,management,single,tertiary,no,968,yes,no,22519
25,admin.,single,secondary,no,483,no,yes,29455
30,blue-collar,single,primary,no,1803,yes,no,36636
41,management,married,tertiary,no,2251,no,no,22940
28,blue-collar,single,primary,no,-232,yes,no,7720
44,blue-collar,married,secondary,no,-73,yes,no,6878
29,housemaid,single,tertiary,no,19,no,no,42408
34,management,single,tertiary,no,2279,no,no,41014
60,retired,divorced,primary,no,1327,yes,yes,2834
52,unemployed,married,primary,no,255,no,yes,13985
31,technician,single,secondary,no,125,no,no,22438
55,blue-collar,married,primary,no,627,yes,no,235
42,admin.,single,secondary,no,684,no,no,40057
38,management,single,tertiary,no,-974,yes,no,7640
44,admin.,married,secondary,no,734,yes,no,7722
47,retired,married,primary,no,1374,no,yes,35958
38,management,divorced,tertiary,no,-199,yes,no,39343
28,blue-collar,married,secondary,no,-717,yes,no,7038
32,management,divorced,tertiary,no,530,yes,no,42810
29,blue-collar,married,secondary,no,0,yes,no,14763
60,blue-collar,married,secondary,no,576,no,no,39405
56,management,divorced,tertiary,no,2959,yes,no,38869
33,management,divorced,tertiary,no,471,no,no,5623
59,self-employed,married,tertiary,no,3800,no,yes,13590
27,student,single,secondary,no,0,no,no,1512
46,entrepreneur,single,tertiary,no,580,yes,no,2495
29,management,married,tertiary,no,941,yes,no,8961
52,blue-collar,married,primary,no,1079,yes,no,3569
47,unemployed,divorced,tertiary,no,780,no,no,12198
32,admin.,single,secondary,no,287,no,no,3468
47,entrepreneur,married,secondary,no,1375,yes,no,32312
39,blue-collar,single,primary,no,1537,no,yes,9255
29,technician,single,secondary,no,534,yes,no,38901
35,management,single,tertiary,no,2808,yes,no,11466
38,blue-collar,married,primary,no,14,yes,yes,36896
38,technician,married,tertiary,no,127,yes,no,41800
37,admin.,divorced,secondary,no,-165,yes,no,8351
55,blue-collar,married,primary,no,781,yes,no,29712
37,blue-collar,married,secondary,no,2066,yes,yes,18797
33,blue-collar,divorced,secondary,no,880,yes,yes,28625
56,admin.,married,secondary,no,2256,yes,no,3555
59,management,married,secondary,no,1245,no,no,28214
60,housemaid,divorced,secondary,no,555,yes,no,15917
59,retired,married,primary,no,1115,no,no,11547
51,self-employed,divorced,tertiary,no,1357,yes,no,24513
56,unemployed,married,primary,no,5496,yes,no,29508
34,technician,divorced,unknown,no,975,yes,no,28714
28,admin.,married,secondary,no,957,yes,yes,2162
50,services,married,secondary,no,60,no,yes,23381
48,technician,single,secondary,no,329,no,no,16445
24,management,single,tertiary,no,933,yes,no,8947
47,admin.,married,secondary,no,769,yes,no,20817
34,blue-collar,single,secondary,no,-231,yes,no,37217
47,admin.,married,secondary,no,6695,no,no,27626
34,admin.,single,secondary,no,296,no,no,12681
33,management,married,tertiary,no,113,yes,no,9232
56,retired,married,primary,no,9367,no,no,42284
38,admin.,single,secondary,no,221,yes,no,29775
30,services,single,tertiary,no,1785,no,no,19757
60,entrepreneur,married,primary,no,987,no,no,11355
36,management,married,tertiary,no,5057,yes,no,24332
42,technician,single,secondary,no,1037,yes,no,7890
37,management,single,tertiary,no,331,yes,no,35820
53,blue-collar,divorced,secondary,no,517,yes,no,11236
46,management,married,tertiary,no,326,no,no,23128
37,management,single,secondary,no,793,no,no,41711
38,management,married,tertiary,no,1555,no,no,22035
40,blue-collar,married,primary,no,0,no,no,16608
54,blue-collar,married,secondary,no,1487,yes,no,3119
50,entrepreneur,married,secondary,no,0,yes,no,14117
43,admin.,married,secondary,no,186,no,yes,18608
32,admin.,married,secondary,no,97,yes,no,39020
56,management,married,tertiary,no,0,yes,no,34714
44,admin.,married,secondary,no,32,no,yes,10484
49,blue-collar,married,secondary,no,1111,yes,yes,32084
44,blue-collar,married,secondary,no,85,yes,no,1642
58,retired,married,secondary,no,3909,yes,no,8437
36,unemployed,divorced,secondary,no,5,yes,no,13211
34,services,married,secondary,no,24,yes,no,6894
52,technician,married,unknown,no,9687,yes,no,26047
37,blue-collar,married,primary,no,5,yes,no,5589
19,student,single,primary,no,134,no,no,31433
32,technician,married,secondary,no,3333,no,no,19781
44,housemaid,married,primary,no,-227,no,yes,12862
57,self-employed,married,secondary,no,7747,no,no,19560
45,blue-collar,married,secondary,no,554,yes,no,6823
46,blue-collar,married,primary,no,512,no,no,37030
31,services,married,secondary,no,71,yes,no,15266
28,services,single,primary,no,307,no,no,34167
29,management,single,tertiary,no,475,no,no,28651
53,unemployed,married,secondary,yes,-233,yes,no,36399
40,blue-collar,married,secondary,no,565,yes,yes,33332
41,self-employed,married,secondary,no,3123,yes,no,31605
39,management,married,tertiary,no,-342,yes,no,6500
57,unemployed,married,primary,no,5126,yes,no,29015
31,technician,single,secondary,no,2544,no,no,42625
29,management,married,tertiary,no,0,yes,yes,14627
26,technician,divorced,tertiary,no,-70,no,yes,12486
51,management,married,secondary,no,1250,yes,no,36817
34,self-employed,married,tertiary,no,7602,no,no,26353
31,technician,single,secondary,no,4028,no,yes,22648
39,admin.,married,secondary,no,168,no,no,41700
32,technician,single,secondary,no,55,yes,no,39007
33,admin.,single,secondary,no,745,yes,no,32980
43,technician,married,secondary,no,0,no,yes,24422
34,management,single,tertiary,no,618,yes,no,8502
42,blue-collar,married,secondary,no,3,yes,no,2912
58,technician,married,secondary,no,760,yes,no,33860
48,technician,married,secondary,no,720,yes,no,1157
26,admin.,single,secondary,no,66,yes,no,37666
58,unemployed,married,tertiary,no,744,no,no,27966
33,technician,married,secondary,no,0,yes,no,972
48,entrepreneur,married,secondary,no,568,no,no,10061
41,services,married,secondary,no,803,yes,no,7032
42,management,married,secondary,no,218,yes,no,36491
35,entrepreneur,single,tertiary,no,-880,no,yes,16822
29,technician,single,secondary,no,738,no,no,44076
37,services,divorced,secondary,no,904,yes,no,2190
33,self-employed,married,tertiary,no,1301,yes,no,5007
53,management,married,primary,no,995,no,no,30041
26,services,single,secondary,no,1163,no,yes,17399
30,management,single,tertiary,no,2186,yes,no,8491
52,management,married,tertiary,no,994,no,no,44731
27,admin.,single,tertiary,no,2068,no,no,31719
30,blue-collar,married,secondary,no,-529,yes,no,36698
55,admin.,divorced,secondary,no,-288,yes,no,38045
22,admin.,single,secondary,no,61,no,no,33783
35,admin.,married,secondary,no,10133,no,yes,39171
57,retired,married,secondary,no,-418,no,yes,12368
39,management,married,tertiary,no,588,yes,yes,29343
43,management,married,tertiary,no,400,yes,no,199
29,services,single,secondary,no,1934,no,no,44914
34,self-employed,married,tertiary,no,1545,yes,no,26558
52,blue-collar,married,secondary,no,2087,yes,no,41361
42,management,single,tertiary,no,7104,no,no,26261
37,admin.,single,secondary,no,1560,yes,no,10202
49,services,divorced,secondary,no,0,no,no,17261
58,technician,married,secondary,no,0,yes,no,14612
49,entrepreneur,married,secondary,yes,-178,no,yes,10346
33,entrepreneur,married,tertiary,no,1145,yes,no,37883
54,self-employed,divorced,primary,no,4382,yes,no,38784
35,technician,single,tertiary,no,5251,yes,no,10903
51,management,divorced,tertiary,no,482,yes,no,2864
34,management,married,tertiary,no,828,no,yes,20387
60,housemaid,married,primary,no,2270,yes,no,13405
44,services,married,secondary,no,742,no,no,18232
40,management,single,tertiary,no,1845,yes,no,8611
47,management,single,tertiary,no,0,no,no,22140
36,self-employed,married,secondary,no,44,yes,no,25151
36,technician,married,secondary,no,483,yes,no,36067
24,technician,single,secondary,no,246,yes,yes,38297
30,student,single,primary,no,1527,no,no,33727
31,management,single,tertiary,no,0,no,no,22790
52,technician,married,secondary,no,291,no,no,1278
33,student,married,secondary,no,1536,no,no,44461
36,blue-collar,married,secondary,no,0,yes,no,26063
42,technician,single,secondary,no,25,yes,no,22257
42,management,married,tertiary,no,3718,yes,no,34568
22,student,single,unknown,no,410,no,no,42303
33,management,married,tertiary,no,2213,no,no,43070
50,admin.,married,primary,no,429,no,no,7386
51,admin.,married,secondary,no,-192,no,no,10709
41,management,married,tertiary,no,5883,no,no,26858
55,retired,married,secondary,no,123,no,no,23566
45,blue-collar,married,secondary,yes,-605,yes,no,13072
70,retired,married,tertiary,no,15834,no,no,41677
34,technician,divorced,tertiary,no,66,no,yes,30390
31,blue-collar,married,secondary,no,8,yes,no,35719
36,unemployed,single,tertiary,no,953,yes,no,39424
32,unemployed,married,secondary,no,0,no,no,26094
31,unemployed,married,secondary,no,86,yes,yes,8393
51,unemployed,married,secondary,no,74,no,yes,27458
59,unemployed,divorced,secondary,no,7469,no,no,41828
58,entrepreneur,married,tertiary,no,6384,no,no,25510
28,unemployed,married,secondary,no,293,yes,no,33475
40,management,married,tertiary,no,3812,no,no,19247
30,admin.,married,secondary,no,-150,yes,no,34809
49,technician,married,tertiary,no,-888,no,yes,15797
49,entrepreneur,divorced,secondary,no,159,yes,no,2497
32,technician,single,secondary,no,0,yes,no,21827
33,blue-collar,married,primary,no,2665,yes,no,5580
52,unemployed,married,secondary,no,49,no,no,33879
30,technician,single,secondary,no,659,yes,no,4734
29,blue-collar,married,unknown,yes,163,yes,yes,16411
37,management,single,tertiary,no,833,yes,no,37629
29,services,single,secondary,no,102,no,no,44138
69,retired,married,primary,no,154,no,no,40568
53,technician,divorced,secondary,no,12,no,no,9259
50,admin.,married,secondary,no,176,no,no,17629
42,blue-collar,single,primary,no,-95,yes,no,34930
25,services,single,secondary,no,2311,no,yes,15598
55,management,married,tertiary,no,2537,no,no,21586
52,management,married,tertiary,no,261,yes,no,10359
57,blue-collar,married,secondary,no,258,yes,no,4759
26,management,single,tertiary,no,157,yes,no,28716
29,management,single,tertiary,no,573,yes,yes,10466
39,services,single,secondary,no,322,yes,no,36227
27,blue-collar,single,primary,no,-179,yes,no,38630
42,management,married,tertiary,no,3713,no,no,26029
31,admin.,single,secondary,no,680,yes,no,5292
53,housemaid,divorced,primary,no,2253,yes,no,16771
45,blue-collar,married,secondary,no,61,yes,no,5784
43,self-employed,married,secondary,no,0,no,no,41629
34,technician,single,secondary,no,124,no,no,21164
39,unemployed,married,secondary,no,1654,no,no,11909
41,blue-collar,married,secondary,no,580,yes,no,37757
36,technician,single,secondary,no,1745,no,no,44385
34,admin.,single,secondary,no,4447,yes,no,39918
38,technician,married,secondary,no,79,yes,no,21888
42,technician,married,secondary,no,488,no,no,31898
33,management,single,tertiary,no,417,yes,no,34207
38,management,single,tertiary,no,455,yes,no,43074
43,management,divorced,tertiary,no,-166,yes,yes,22998
24,student,single,secondary,no,1684,no,no,31623
42,blue-collar,married,secondary,no,1386,yes,no,17790
56,blue-collar,married,secondary,no,2395,no,no,20417
31,blue-collar,single,secondary,no,-78,yes,yes,5434
31,self-employed,single,tertiary,no,120,yes,no,1163
37,technician,married,secondary,no,0,yes,no,24844
30,management,married,tertiary,no,931,no,no,15094
40,technician,married,tertiary,no,11766,yes,no,43466
42,management,single,secondary,no,50,no,no,91
43,admin.,married,secondary,no,429,yes,yes,8548
22,student,single,secondary,no,722,yes,no,31511
56,blue-collar,married,secondary,no,-199,no,yes,14814
41,management,divorced,tertiary,no,4495,yes,no,20251
27,blue-collar,married,secondary,no,613,yes,no,4289
39,blue-collar,married,primary,no,766,yes,no,8632
44,unemployed,married,secondary,no,317,yes,yes,43851
46,unknown,married,unknown,no,2367,no,no,9598
53,unemployed,married,primary,no,142,no,no,34089
55,retired,divorced,primary,no,1420,no,no,12259
47,blue-collar,married,primary,no,209,no,no,23325
49,technician,married,secondary,no,0,yes,no,26127
38,management,married,secondary,no,96,yes,no,26793
29,blue-collar,married,secondary,no,87,yes,no,9587
35,housemaid,married,tertiary,no,3831,no,no,26862
47,blue-collar,married,primary,no,3451,no,yes,27641
28,management,single,tertiary,no,223,yes,no,41307
49,blue-collar,married,primary,no,3767,yes,no,5458
46,management,married,tertiary,no,99,yes,no,16241
37,management,married,secondary,no,2442,no,no,29934
32,blue-collar,married,secondary,no,485,yes,no,36705
34,services,married,secondary,no,1314,yes,no,37226
60,blue-collar,married,secondary,no,196,no,no,11827
50,blue-collar,single,primary,no,1743,yes,no,9368
36,technician,married,secondary,no,930,no,no,20959
60,retired,divorced,secondary,no,2479,yes,yes,3241
31,technician,married,tertiary,no,79,yes,no,22041
53,management,married,tertiary,no,15,no,no,21852
34,blue-collar,married,secondary,no,1831,yes,no,4727
52,admin.,single,secondary,no,545,yes,no,901
34,management,single,tertiary,no,280,no,no,22838
38,services,single,secondary,no,91,no,no,43182
31,blue-collar,married,secondary,no,113,yes,no,34430
32,blue-collar,married,secondary,no,0,yes,yes,5040
37,admin.,single,secondary,no,862,no,no,26436
32,technician,single,tertiary,no,502,yes,no,26882
31,blue-collar,divorced,secondary,no,-277,yes,no,15109
58,retired,divorced,secondary,no,19,no,no,17681
33,blue-collar,divorced,secondary,no,176,yes,no,2304
32,technician,single,tertiary,no,1246,yes,no,34166
36,services,married,secondary,no,143,yes,yes,259
35,management,married,tertiary,no,753,no,no,23392
32,self-employed,married,secondary,no,217,yes,yes,14628
33,management,single,tertiary,no,-149,yes,no,15911
43,services,married,secondary,no,778,no,no,14418
41,blue-collar,married,secondary,no,1915,yes,no,17134
47,blue-collar,married,primary,yes,0,no,no,9123
25,student,single,tertiary,no,20,no,no,44741
58,blue-collar,married,unknown,no,4871,yes,no,2760
59,admin.,divorced,secondary,no,3304,yes,no,8149
50,management,married,primary,no,15035,yes,no,36800
38,management,married,tertiary,no,93,yes,no,22913
63,retired,married,secondary,no,708,no,no,42329
53,technician,married,secondary,no,6831,no,no,37519
60,technician,married,tertiary,no,0,no,no,9402
51,technician,married,secondary,no,130,no,no,22599
34,blue-collar,single,secondary,no,4536,yes,no,27097
35,technician,single,tertiary,no,147,no,no,22120
56,management,married,secondary,no,1502,no,no,18458
35,management,single,tertiary,no,331,yes,no,38831
39,services,single,secondary,no,1048,yes,no,37806
43,self-employed,married,secondary,no,1239,yes,yes,16361
34,technician,married,secondary,no,19,yes,no,295
43,unemployed,single,unknown,no,3274,yes,no,39386
57,unemployed,married,primary,no,0,yes,no,26808
37,blue-collar,married,secondary,no,152,yes,no,5643
51,services,married,primary,no,8806,yes,no,4083
27,student,single,tertiary,no,3733,yes,no,39418
57,housemaid,married,primary,no,85,no,no,12375
60,retired,divorced,secondary,no,0,no,no,15294
29,management,single,tertiary,no,2389,no,no,40053
43,blue-collar,married,secondary,no,2160,no,no,39873
42,entrepreneur,married,primary,no,198,yes,no,1185
37,technician,single,tertiary,no,6101,no,no,34184
32,technician,married,secondary,no,-413,yes,no,20723
32,blue-collar,married,secondary,no,578,yes,no,28724
38,technician,divorced,tertiary,no,348,no,no,11838
28,admin.,married,secondary,no,-393,yes,yes,35475
22,housemaid,single,secondary,no,1796,no,no,44020
27,technician,single,secondary,no,261,yes,no,28501
43,management,married,tertiary,no,254,yes,yes,14534
49,admin.,married,secondary,no,652,no,yes,10981
51,retired,married,primary,no,67,no,no,11116
49,management,divorced,tertiary,yes,0,yes,no,2051
46,blue-collar,married,secondary,no,2944,no,no,12169
37,unemployed,single,tertiary,no,1291,no,no,40651
55,blue-collar,divorced,unknown,no,276,yes,no,37311
60,management,married,tertiary,no,3876,no,yes,19159
50,technician,married,secondary,no,669,yes,no,8158
48,admin.,divorced,secondary,no,238,yes,no,5690
37,blue-collar,married,primary,no,223,yes,no,35334
44,services,single,secondary,no,0,yes,no,2808
50,management,married,tertiary,no,135,no,no,22654
46,blue-collar,married,primary,no,642,no,no,10291
53,technician,married,secondary,no,7984,yes,no,29099
36,unemployed,single,primary,no,0,yes,no,12707
43,technician,divorced,secondary,no,-278,no,no,23449
40,management,married,tertiary,no,-495,no,yes,17542
30,admin.,single,secondary,no,-548,yes,yes,17275
57,unknown,divorced,unknown,no,4244,no,no,11323
29,management,married,tertiary,no,10576,no,no,3501
57,technician,married,secondary,no,363,no,no,43995
37,management,married,tertiary,no,675,no,no,22932
53,admin.,married,primary,no,6280,no,no,18986
73,retired,divorced,primary,no,2308,no,no,31448
33,technician,single,tertiary,no,81,no,no,15398
40,housemaid,married,secondary,no,4136,yes,no,36454
30,services,single,secondary,no,63,no,no,44560
37,admin.,married,secondary,no,641,yes,no,9081
39,technician,married,primary,no,169,yes,no,6526
36,management,married,tertiary,no,4359,no,no,18553
31,technician,single,tertiary,no,336,no,no,22566
53,admin.,married,secondary,no,1739,yes,no,3594
40,management,married,tertiary,no,0,yes,no,31397
33,admin.,married,secondary,no,0,yes,no,13772
40,admin.,divorced,secondary,no,399,no,no,28105
22,blue-collar,single,primary,no,-168,yes,no,2328
40,services,married,secondary,no,181,yes,no,3745
71,retired,married,secondary,no,951,no,yes,31724
35,services,married,secondary,no,629,no,yes,13277
44,blue-collar,single,primary,no,116,yes,no,3268
26,entrepreneur,married,tertiary,yes,144,no,yes,17042
46,management,married,tertiary,no,4,no,no,20043
42,housemaid,married,primary,no,145,no,no,21958
46,blue-collar,married,primary,no,-339,yes,yes,36116
25,unemployed,single,secondary,no,34,no,yes,12634
26,entrepreneur,married,tertiary,no,37,yes,yes,34989
38,management,married,tertiary,no,385,yes,no,24099
36,blue-collar,married,unknown,no,-417,yes,no,6175
51,housemaid,married,primary,no,2499,no,no,10332
46,technician,married,tertiary,no,841,yes,no,366
54,blue-collar,divorced,secondary,no,1145,yes,no,35497
31,blue-collar,married,primary,no,1738,no,no,30533
42,management,single,tertiary,no,227,no,no,21870
48,admin.,married,secondary,no,395,no,no,8974
43,services,divorced,secondary,no,-145,yes,no,17216
43,unemployed,married,secondary,no,775,no,no,42502
43,management,divorced,tertiary,no,481,yes,no,40048
55,technician,married,secondary,no,55,no,yes,23777
30,management,married,tertiary,no,1942,yes,yes,27037
51,housemaid,married,secondary,no,429,no,no,21065
46,blue-collar,divorced,primary,no,2775,no,yes,13204
51,technician,married,primary,no,1550,no,no,11956
37,management,married,secondary,no,3175,yes,no,4435
55,retired,married,secondary,no,85,no,no,12538
26,blue-collar,single,secondary,no,37,no,yes,17256
41,technician,divorced,secondary,no,52,no,no,21810
29,admin.,single,secondary,no,2768,yes,no,8126
60,retired,divorced,tertiary,no,-134,no,no,36617
29,services,married,primary,no,711,yes,no,8633
39,blue-collar,married,secondary,no,0,yes,no,4680
32,blue-collar,single,secondary,no,82,yes,no,17310
36,self-employed,single,secondary,no,245,yes,no,33676
38,admin.,divorced,secondary,no,485,yes,no,29242
41,services,divorced,secondary,no,0,yes,no,13372
33,management,single,tertiary,no,637,no,no,21102
50,technician,divorced,tertiary,no,291,no,yes,15124
32,admin.,married,secondary,no,1078,yes,no,32290
41,blue-collar,married,secondary,no,429,yes,no,2371
44,admin.,divorced,secondary,no,397,yes,yes,31081
48,unemployed,married,primary,no,5462,no,no,9449
56,management,divorced,tertiary,no,321,no,no,23376
41,blue-collar,married,primary,no,3803,yes,no,26787
32,blue-collar,married,primary,no,474,yes,no,33193
44,admin.,divorced,secondary,no,-43,yes,yes,33354
59,retired,divorced,secondary,no,479,no,no,30036
35,technician,married,tertiary,no,-290,yes,yes,16544
34,self-employed,married,tertiary,no,263,no,no,43622
36,admin.,married,tertiary,no,211,yes,no,185
31,entrepreneur,married,tertiary,no,5156,yes,no,17149
36,management,married,tertiary,no,46,no,no,22720
36,management,married,tertiary,no,139,yes,no,33245
29,admin.,single,secondary,no,0,yes,no,34488
33,technician,married,secondary,no,277,no,no,19548
32,self-employed,single,tertiary,no,519,yes,no,25148
19,student,single,secondary,no,302,no,no,44212
32,blue-collar,married,secondary,no,5,no,no,26496
39,technician,married,tertiary,no,94,yes,yes,3682
43,blue-collar,married,secondary,no,2105,no,no,34087
27,management,single,tertiary,no,405,yes,no,35451
30,management,single,tertiary,no,499,yes,no,43767
70,retired,married,secondary,no,2064,no,no,41944
46,blue-collar,married,primary,no,222,no,no,19954
34,management,divorced,tertiary,no,1173,no,yes,15397
52,retired,married,secondary,no,424,no,no,25535
33,unknown,married,tertiary,no,0,yes,no,11974
58,management,married,tertiary,no,9683,no,no,18987
40,blue-collar,married,primary,no,236,yes,no,4742
58,management,divorced,tertiary,no,26254,yes,no,27328
36,management,married,tertiary,no,59,yes,yes,12619
32,management,married,tertiary,no,514,yes,no,6758
57,technician,married,secondary,no,950,yes,no,13385
51,management,married,tertiary,no,2704,yes,no,15762
55,management,married,tertiary,no,7803,no,no,42685
23,blue-collar,single,primary,no,145,yes,no,8775
30,entrepreneur,married,primary,no,2686,yes,no,14592
32,management,single,secondary,no,3829,no,yes,26664
31,blue-collar,married,secondary,no,80,yes,yes,15995
31,housemaid,single,secondary,no,49,yes,no,35949
39,management,married,tertiary,no,0,yes,no,7326
45,management,married,tertiary,no,0,no,no,22238
28,blue-collar,married,primary,no,420,no,yes,13322
40,blue-collar,married,secondary,no,3122,yes,no,2302
32,management,married,tertiary,no,1667,yes,no,5459
34,services,single,tertiary,no,371,no,no,4533
44,blue-collar,married,primary,no,3407,yes,no,3174
29,management,single,tertiary,no,-223,no,yes,13617
45,management,married,tertiary,no,4877,yes,no,19919
57,blue-collar,married,primary,no,679,yes,no,9444
43,technician,married,secondary,no,1865,yes,no,24267
35,management,single,tertiary,no,31,yes,no,14410
31,self-employed,married,tertiary,no,259,yes,no,35255
32,blue-collar,single,secondary,no,3,yes,no,5429
31,blue-collar,married,primary,no,1601,no,no,31715
39,technician,married,secondary,no,4101,yes,no,31138
45,self-employed,divorced,secondary,no,-139,yes,no,812
56,retired,married,secondary,no,2330,no,no,35740
35,services,married,secondary,no,52,yes,no,31207
52,management,married,tertiary,no,499,no,no,19192
30,management,single,tertiary,no,5,no,no,3982
52,retired,divorced,tertiary,no,3687,yes,yes,10504
38,management,married,tertiary,no,126,yes,no,5028
28,admin.,single,secondary,no,1823,no,no,28461
35,technician,single,secondary,no,1693,yes,no,31018
61,technician,married,tertiary,no,0,no,no,31555
36,housemaid,married,primary,no,125,yes,no,17642
55,unemployed,married,primary,no,1212,no,no,43836
55,entrepreneur,married,tertiary,no,12731,yes,no,14964
47,admin.,married,secondary,no,120,yes,no,37564
59,retired,married,primary,no,0,no,no,11197
33,management,single,tertiary,no,718,yes,no,45035
29,housemaid,single,tertiary,no,2196,no,no,44454
38,blue-collar,married,secondary,no,171,yes,no,1878
30,technician,single,secondary,no,486,no,no,28121
26,blue-collar,single,secondary,no,-84,yes,yes,17639
28,technician,married,secondary,no,272,no,yes,14868
31,blue-collar,married,primary,no,554,yes,no,37630
50,services,married,secondary,no,0,yes,no,31425
60,management,married,tertiary,no,3895,no,yes,12034
42,blue-collar,married,secondary,no,0,yes,no,27439
55,technician,divorced,secondary,no,225,no,yes,14270
32,management,married,tertiary,no,3696,no,no,5185
53,self-employed,married,tertiary,no,3711,no,no,25741
39,self-employed,married,secondary,no,454,yes,no,22830
78,retired,married,tertiary,no,1204,no,no,42336
59,retired,married,secondary,no,1521,yes,yes,2846
48,admin.,married,tertiary,no,960,yes,no,7447
36,entrepreneur,married,secondary,no,35,no,no,30091
33,blue-collar,married,primary,no,1002,yes,no,33532
35,technician,married,secondary,no,0,yes,no,45161
24,services,single,secondary,no,53,yes,yes,6786
44,technician,divorced,secondary,no,0,yes,no,17205
38,blue-collar,married,secondary,no,468,yes,no,1574
50,blue-collar,divorced,secondary,no,571,yes,no,7982
81,retired,married,secondary,no,1,no,no,41180
50,blue-collar,married,secondary,no,-26,yes,no,35836
66,retired,married,primary,no,388,no,no,44826
34,technician,single,tertiary,no,2047,yes,no,25370
28,admin.,single,secondary,no,3,no,no,37723
60,housemaid,married,primary,no,161,no,no,9395
38,housemaid,married,secondary,no,333,yes,no,30505
37,technician,married,tertiary,yes,0,yes,no,2968
30,technician,single,secondary,no,323,no,no,42721
40,management,single,tertiary,no,0,no,no,23149
43,blue-collar,married,unknown,yes,-715,yes,no,7521
36,technician,married,secondary,no,644,no,no,12610
35,services,single,secondary,no,35,yes,no,37690
26,self-employed,single,tertiary,no,1078,no,no,33955
24,admin.,married,secondary,no,262,yes,no,8793
31,services,divorced,secondary,no,1301,yes,no,37071
37,self-employed,divorced,tertiary,no,160,yes,yes,9576
33,blue-collar,married,secondary,no,19,yes,no,29849
54,technician,married,secondary,no,87,yes,no,36518
54,blue-collar,married,secondary,no,1223,yes,no,35603
38,management,single,tertiary,no,-145,yes,no,15681
39,technician,married,secondary,no,3825,no,yes,22765
24,blue-collar,single,primary,no,174,yes,no,39253
41,technician,single,tertiary,no,1413,no,no,22971
52,admin.,divorced,secondary,no,0,yes,no,5655
